[2026-05-06T08:25:11.710+0000] {subprocess.py:93} INFO - Failed HINDPETRO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.711+0000] {subprocess.py:93} INFO - Failed INDIGO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.713+0000] {subprocess.py:93} INFO - Failed HCLTECH: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.715+0000] {subprocess.py:93} INFO - Failed HEROMOTOCO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.717+0000] {subprocess.py:93} INFO - Failed INFY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.724+0000] {subprocess.py:93} INFO - Failed BAJFINANCE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.730+0000] {subprocess.py:93} INFO - Failed TATACONSUM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.732+0000] {subprocess.py:93} INFO - Failed COFORGE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.734+0000] {subprocess.py:93} INFO - Failed BEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.736+0000] {subprocess.py:93} INFO - Failed SAIL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.739+0000] {subprocess.py:93} INFO - Failed PFC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.741+0000] {subprocess.py:93} INFO - Failed SRF: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.742+0000] {subprocess.py:93} INFO - Failed MANAPPURAM: Too many requests
[2026-05-06T08:25:11.744+0000] {subprocess.py:93} INFO - Failed CHOLAFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.745+0000] {subprocess.py:93} INFO - Failed JIOFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.747+0000] {subprocess.py:93} INFO - Failed PPLPHARMA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.749+0000] {subprocess.py:93} INFO - Failed NMDC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.750+0000] {subprocess.py:93} INFO - Failed GRASIM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.752+0000] {subprocess.py:93} INFO - Failed VOLTAS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.755+0000] {subprocess.py:93} INFO - Failed LTF: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.757+0000] {subprocess.py:93} INFO - Failed GAIL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.759+0000] {subprocess.py:93} INFO - Failed INDHOTEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.761+0000] {subprocess.py:93} INFO - Failed ZYDUSLIFE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.763+0000] {subprocess.py:93} INFO - Failed BHEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.764+0000] {subprocess.py:93} INFO - Failed SUNPHARMA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.766+0000] {subprocess.py:93} INFO - Failed LICI: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.768+0000] {subprocess.py:93} INFO - Failed LT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.770+0000] {subprocess.py:93} INFO - Failed ANGELONE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.772+0000] {subprocess.py:93} INFO - Failed TITAN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.773+0000] {subprocess.py:93} INFO - Failed HDFCAMC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.775+0000] {subprocess.py:93} INFO - Failed AMBUJACEM: Incorrect `api_key` or `access_token`.
